Date,Close,Volume,Open,High,Low
09/19/2012,$6.21,5242285,$6.2,$6.348,$6.188
09/20/2012,$6.18,4561860,$6.186,$6.3,$6.136
09/21/2012,$6.004,9349850,$6.22,$6.298,$5.908
09/24/2012,$6.132,6507020,$5.902,$6.206,$5.88
09/25/2012,$5.532,28350340,$5.724,$5.896,$5.506
09/26/2012,$5.508,7635880,$5.532,$5.68,$5.496
09/27/2012,$5.698,8790765,$5.564,$5.708,$5.52
09/28/2012,$5.856,21713445,$5.746,$5.978,$5.722
10/01/2012,$5.832,4421525,$5.9,$5.978,$5.8
10/02/2012,$5.96,3644845,$5.856,$5.978,$5.8
10/03/2012,$5.86,5248590,$5.95,$5.99,$5.848
10/04/2012,$5.88,7706035,$6,$6.02,$5.73
10/05/2012,$5.778,4691795,$5.94,$5.962,$5.736
10/08/2012,$5.85,4448395,$5.772,$5.88,$5.7222
10/09/2012,$5.674,5960460,$5.824,$5.824,$5.65
10/10/2012,$5.68,2517815,$5.678,$5.744,$5.602
10/11/2012,$5.664,2252855,$5.788,$5.796,$5.65
10/12/2012,$5.528,4937675,$5.664,$5.746,$5.5
10/15/2012,$5.466,7343335,$5.604,$5.61,$5.372
10/16/2012,$5.612,2396240,$5.534,$5.618,$5.468
10/17/2012,$5.7638,3339815,$5.65,$5.768,$5.56
10/18/2012,$5.608,3704735,$5.798,$5.798,$5.556
10/19/2012,$5.548,5136510,$5.566,$5.64,$5.46
10/22/2012,$5.57,2350990,$5.598,$5.6,$5.472
10/23/2012,$5.678,3744990,$5.476,$5.712,$5.474
10/24/2012,$5.484,5081840,$5.704,$5.704,$5.45
10/25/2012,$5.504,2888430,$5.56,$5.56,$5.49
10/26/2012,$5.476,2386525,$5.506,$5.56,$5.404
10/31/2012,$5.6263,3875710,$5.54,$5.67,$5.474
11/01/2012,$5.8491,5120270,$5.65,$5.898,$5.64
11/02/2012,$5.7836,5151325,$5.854,$5.91,$5.71
11/05/2012,$6.3,10243835,$5.96,$6.316,$5.866
11/06/2012,$6.23,11618715,$6.122,$6.24,$5.99
11/07/2012,$6.308,8572345,$6.2,$6.41,$6.162
11/08/2012,$6.262,6369930,$6.202,$6.376,$6.188
11/09/2012,$6.064,4314640,$6.12,$6.186,$5.97
11/12/2012,$6.214,2779480,$6.058,$6.284,$6.032
11/13/2012,$6.3229,4991315,$6.258,$6.4,$6.144
11/14/2012,$6.276,4356075,$6.392,$6.424,$6.2408
11/15/2012,$6.164,4919205,$6.26,$6.288,$6.1
11/16/2012,$6.368,4543250,$6.23,$6.4,$6.118
11/19/2012,$6.584,6960840,$6.414,$6.65,$6.368
11/20/2012,$6.6,4612135,$6.56,$6.62,$6.382
11/21/2012,$6.494,4815665,$6.522,$6.694,$6.4572
11/23/2012,$6.426,2151060,$6.52,$6.566,$6.34
11/26/2012,$6.454,2478695,$6.42,$6.46,$6.324
11/27/2012,$6.43,4553850,$6.426,$6.532,$6.304
11/28/2012,$6.646,7625995,$6.4,$6.858,$6.382
11/29/2012,$6.738,5516575,$6.688,$6.8,$6.574
11/30/2012,$6.764,7101420,$6.726,$6.856,$6.602
12/03/2012,$6.924,10428195,$6.778,$7,$6.7
12/04/2012,$6.78,6316200,$6.816,$6.96,$6.71
12/05/2012,$6.742,3307430,$6.764,$6.838,$6.716
12/06/2012,$6.78,3286280,$6.764,$6.96,$6.7
12/07/2012,$6.834,3321930,$6.86,$6.898,$6.77
12/10/2012,$6.914,4648755,$6.886,$6.96,$6.836
12/11/2012,$7.056,7861550,$6.92,$7.1,$6.892
12/12/2012,$7.052,10318635,$7.042,$7.16,$6.99
12/13/2012,$6.722,10753120,$7.052,$7.06,$6.55
12/14/2012,$6.762,5113715,$6.756,$6.88,$6.718
12/17/2012,$6.88,4124045,$6.754,$6.9,$6.75
12/18/2012,$6.918,7769180,$6.852,$7.014,$6.852
12/19/2012,$6.922,6347655,$6.95,$7.052,$6.904
12/20/2012,$6.886,4605970,$6.902,$6.9576,$6.81
12/21/2012,$6.8,7461530,$6.788,$6.834,$6.716
12/24/2012,$6.856,1878980,$6.728,$6.87,$6.71
12/26/2012,$6.718,3006920,$6.792,$6.9,$6.7
12/27/2012,$6.738,2805425,$6.7,$6.782,$6.6
12/28/2012,$6.644,2070175,$6.676,$6.73,$6.604
12/31/2012,$6.774,2974230,$6.6,$6.794,$6.6
01/02/2013,$7.072,5973550,$7,$7.09,$6.941
01/03/2013,$6.954,3709705,$7.036,$7.09,$6.95
01/04/2013,$6.88,3369965,$6.96,$6.96,$6.784
01/07/2013,$6.868,2209545,$6.96,$6.96,$6.78
01/08/2013,$6.736,6418715,$6.9,$6.9,$6.622
01/09/2013,$6.728,3489895,$6.802,$6.838,$6.68
01/10/2013,$6.706,4612025,$6.774,$6.798,$6.676
01/11/2013,$6.582,7814870,$6.808,$6.808,$6.422
01/14/2013,$6.652,4625090,$6.616,$6.676,$6.57
01/15/2013,$6.78,8119225,$6.622,$6.85,$6.616
